id;project_id;title;description;assigned_to_user_id;due_date;created_at;updated_at;priority;status
1;6311;bathhouse;unknown;25945;2025-08-05T17:12:25;2025-08-05T18:00:56;2025-08-05T00:00:14;MEDIUM;IN_PROGRESS
2;12207;excluding given;impostor;4550;2025-08-05T21:10:45;2025-08-05T04:30:46;2025-08-05T14:32:10;LOW;COMPLETED
3;16768;zowie spherical however;handsome sport;23420;2025-08-05T19:42:10;2025-08-04T23:36:45;2025-08-05T11:10:08;LOW;TO_DO
4;25776;intently reporter against;colorless deep;5196;2025-08-05T03:35:16;2025-08-05T19:57:33;2025-08-05T20:44:18;MEDIUM;COMPLETED
5;13959;governance;eek chase;1316;2025-08-04T23:58:00;2025-08-04T21:58:15;2025-08-05T10:20:43;MEDIUM;TO_DO
6;1461;issue reconstitute statement;chromakey interchange;23046;2025-08-05T20:16:14;2025-08-05T05:39:27;2025-08-05T19:59:09;MEDIUM;IN_PROGRESS
7;2894;yowza excluding limply;platter superior;170;2025-08-05T01:50:32;2025-08-04T21:42:51;2025-08-05T08:18:08;LOW;IN_PROGRESS
8;28994;petty behold;fooey exotic;6975;2025-08-05T00:46:15;2025-08-05T20:12:11;2025-08-05T15:36:39;LOW;TO_DO
9;6040;where furthermore;profane bob govern;10352;2025-08-05T18:28:42;2025-08-05T06:53:22;2025-08-05T07:54:07;LOW;IN_PROGRESS
10;197;blank;fencing carefree often;23925;2025-08-05T17:03:02;2025-08-05T17:33:45;2025-08-05T00:23:24;MEDIUM;TO_DO
